true,76,true,76,ELDER,90.0,24.50864321834929,61.405328340279034,16.65770358142896
false,66,false,80,ELDER,90.0,15.619761276421155,68.91695637257725,11.652106188964005
true,153,false,68,ELDER,90.0,30.99874197923916,73.57137441262994,18.998479477125766
true,147,false,21,UNEMPLOYED,90.0,31.967122305189115,59.206447494013126,18.701395421668114
true,118,false,46,UNEMPLOYED,90.0,21.600808423490985,55.158978384016805,10.99475846969846
false,137,true,35,TEACHER,90.0,26.72218374552064,53.92620770728076,7.924164987024078
false,150,true,15,CHILD,90.0,27.20778170260332,51.40310166830938,15.104431651877793
false,152,true,13,CHILD,90.0,21.40825556764438,62.713478024467975,13.822825606110673
true,144,false,23,WORK_OUT_OF_TOWN,90.0,21.30574658863773,57.964540091928434,2.1032616698168116
true,111,false,60,FISHER,90.0,17.090856651227693,54.411879758442424,17.794243627411078
true,124,true,47,UNEMPLOYED,90.0,29.022290497244963,60.4079671123141,11.82217556482077
false,103,false,65,ELDER,90.0,14.199682659729932,63.27187119469866,3.324632275312053
true,140,true,50,UNEMPLOYED,90.0,29.61261267821607,51.608346869343634,13.954648262294956
true,107,true,64,UNEMPLOYED,90.0,35.65571995626709,65.71723078716272,18.927311989344055
true,148,false,70,ELDER,90.0,35.07427850489777,65.63541459698814,15.206875767781135
true,151,true,24,UNEMPLOYED,90.0,34.35983978481738,60.610268188270496,19.047840466104535
false,142,false,34,FISHER,90.0,25.412528175724866,57.560597270429795,17.267741241668027
false,168,false,5,CHILD,90.0,16.773591802378192,53.14272050782693,4.9034629345077025
false,169,true,3,CHILD,90.0,14.682637641145726,61.49181697411866,17.60569725316938
false,170,false,2,CHILD,90.0,21.920329329300237,68.74638615950393,15.941720847386877
true,138,true,47,WORK_OUT_OF_TOWN,90.0,38.66703899231233,54.774223444732314,19.661806775936817
false,128,false,54,WORK_OUT_OF_TOWN,90.0,10.374558878213877,50.57144232451727,18.914973094850385
true,131,false,51,UNEMPLOYED,90.0,13.056478003639473,55.618499697719855,19.423709903744726
false,141,true,39,UNEMPLOYED,90.0,27.922675000117703,52.69854688379068,15.038753800183045
false,162,true,15,CHILD,90.0,28.98928458725536,70.76096416381655,10.798820312425624
false,164,false,14,CHILD,90.0,34.25320192177834,64.77188515317366,16.604734659057762
